0.08333333333333333	1
0.08333333333333333	2
0.08333333333333333	5
0.08333333333333333	9
0.08333333333333333	13
0.08333333333333333	17
0.08333333333333333	21
0.08333333333333333	25
0.08333333333333333	29
0.08333333333333333	33
0.08333333333333333	150
0.08333333333333333	300
0.1	1
0.1	2
0.1	5
0.1	9
0.1	13
0.1	17
0.1	21
0.1	25
0.1	29
0.1	33
0.1	150
0.1	300
0.125	1
0.125	2
0.125	5
0.125	9
0.125	13
0.125	17
0.125	21
0.125	25
0.125	29
0.125	33
0.125	150
0.125	300
0.16666666666666666	1
0.16666666666666666	2
0.16666666666666666	5
0.16666666666666666	9
0.16666666666666666	13
0.16666666666666666	17
0.16666666666666666	21
0.16666666666666666	25
0.16666666666666666	29
0.16666666666666666	33
0.16666666666666666	150
0.16666666666666666	300
0.25	1
0.25	2
0.25	5
0.25	9
0.25	13
0.25	17
0.25	21
0.25	25
0.25	29
0.25	33
0.25	150
0.25	300
0.5	1
0.5	2
0.5	5
0.5	9
0.5	13
0.5	17
0.5	21
0.5	25
0.5	29
0.5	33
0.5	150
0.5	300
1.0	1
1.0	2
1.0	5
1.0	9
1.0	13
1.0	17
1.0	21
1.0	25
1.0	29
1.0	33
1.0	150
1.0	300
2.0	1
2.0	2
2.0	5
2.0	9
2.0	13
2.0	17
2.0	21
2.0	25
2.0	29
2.0	33
2.0	150
2.0	300
5.0	1
5.0	2
5.0	5
5.0	9
5.0	13
5.0	17
5.0	21
5.0	25
5.0	29
5.0	33
5.0	150
5.0	300
